Joe Garcia (D),1000.0,24,D
Rick Larsen (D),22000.0,130,D
Xavier Becerra (D),82041.0,638,D
John Barrow (D),97000.0,97,D
Bill Cassidy (R),79203.0,384,R
Jeff Duncan (R),10000.0,90,R
Robert E. Latta (R),46000.0,169,R
Terri A. Sewell (D),6500.0,78,D
Andy Harris (R),3250.0,208,R
David Scott (D),7000.0,463,D
Ron Barber (D),4250.0,40,D
Lois Capps (D),40500.0,1739,D
Randy Hultgren (R),13000.0,112,R
Pete Gallego (D),6750.0,16,D
Colleen Hanabusa (D),17500.0,144,D
Kevin Yoder (R),22250.0,68,R
Billy Long (R),10000.0,51,R
Tom Latham (R),112300.0,578,R
Tom Cole (R),1500.0,278,R
Joe Manchin (D),160100.0,190,D
Duncan D. Hunter (R),11400.0,67,R
Dean Heller (R),65745.0,208,R
Lloyd Doggett (D),17750.0,1440,D
Phil Roe (R),3250.0,880,R
Gary Peters (D),35000.0,227,D
Rob Woodall (R),6000.0,395,R
Mike Honda (D),31950.0,720,D
Chris Gibson (R),12250.0,36,R
Martin Heinrich (D),47050.0,101,D
Ed Whitfield (R),90750.0,452,R
Doug LaMalfa (R),5500.0,22,R
Bill Johnson (R),31500.0,79,R
Eliot L. Engel (D),33750.0,953,D
Betty McCollum (D),11250.0,1260,D
Brian M. Higgins (D),14500.0,496,D
Roy Blunt (R),13500.0,1135,R
Scott Garrett (R),30920.0,890,R
Maria Cantwell (D),48950.0,1126,D
Marco Rubio (R),27400.0,342,R
Mike Simpson (R),9000.0,361,R
Mike Doyle (D),19250.0,268,D
Vicky Hartzler (R),2584.0,86,R
Marc Veasey (D),7000.0,71,D
Michael E. Capuano (D),58250.0,327,D
